year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
total_total_steel_cathodically_protected_coated,,,,,,,,,,,,,,,,,,,,,partpcpctotal,partpcpctotal,partpcpctotal,partpcpctotal,partpcpctotal,partpcpctotal,partpcpctotal,partpcpctotal,partpcpctotal,partpcpctotal,partpcpctotal,partpcpctotal,partpcpctotal
total_total_steel_cathodically_unprotected_bare,,,,,,,,,,,,,,,,,,,,,partpcubtotal,partpcubtotal,partpcubtotal,partpcubtotal,partpcubtotal,partpcubtotal,partpcubtotal,partpcubtotal,partpcubtotal,partpcubtotal,partpcubtotal,partpcubtotal,partpcubtotal
total_total_steel_cathodically_unprotected_coated,,,,,,,,,,,,,,,,,,,,,partpcuctotal,partpcuctotal,partpcuctotal,partpcuctotal,partpcuctotal,partpcuctotal,partpcuctotal,partpcuctotal,partpcuctotal,partpcuctotal,partpcuctotal,partpcuctotal,partpcuctotal
total_total_cast_iron,,,,,,,,,,,,,,,,,,,,,partpcitotal,partpcitotal,partpcitotal,partpcitotal,partpcitotal,partpcitotal,partpcitotal,partpcitotal,partpcitotal,partpcitotal,partpcitotal,partpcitotal,partpcitotal
total_total_wrought_iron,,,,,,,,,,,,,,,,,,,,,partpwitotal,partpwitotal,partpwitotal,partpwitotal,partpwitotal,partpwitotal,partpwitotal,partpwitotal,partpwitotal,partpwitotal,partpwitotal,partpwitotal,partpwitotal
total_total_plastic,,,,,,,,,,,,,,,,,,,,,partpptotal,partpptotal,partpptotal,partpptotal,partpptotal,partpptotal,partpptotal,partpptotal,partpptotal,partpptotal,partpptotal,partpptotal,partpptotal
total_total_composite,,,,,,,,,,,,,,,,,,,,,partpctotal,partpctotal,partpctotal,partpctotal,partpctotal,partpctotal,partpctotal,partpctotal,partpctotal,partpctotal,partpctotal,partpctotal,partpctotal
total_total_other,,,,,,,,,,,,,,,,,,,,,partpototal,partpototal,partpototal,partpototal,partpototal,partpototal,partpototal,partpototal,partpototal,partpototal,partpototal,partpototal,partpototal
total_total_total,,,,,,,,,,,,,,,,,,,,,partptotalmiles,partptotalmiles,partptotalmiles,partptotalmiles,partptotalmiles,partptotalmiles,partptotalmiles,partptotalmiles,partptotalmiles,partptotalmiles,partptotalmiles,partptotalmiles,partptotalmiles
other_materials,,,,,,,,,,,,,,,,,,,,,partpothermaterials,partpothermaterials,partpothermaterials,partpothermaterials,partpothermaterials,partpothermaterials,partpothermaterials,partpothermaterials,partpothermaterials,partpothermaterials,partpothermaterials,partpothermaterials,partpothermaterials
gathering_other_materials,,,,,,,,,,,,,,,,,,,,,partpgothermaterials,partpgothermaterials,partpgothermaterials,partpgothermaterials,partpgothermaterials,partpgothermaterials,partpgothermaterials,partpgothermaterials,partpgothermaterials,partpgothermaterials,partpgothermaterials,partpgothermaterials,partpgothermaterials
