year_index,1970-1979,1980-1981,1982-1983,1984-1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
miles_offshore_gathering_pipe_nps_48,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF48,PARTIOFF48,PARTIOFF48,PARTIOFF48,PARTIOFF48,PARTIOFF48,PARTIOFF48,PARTIOFF48,PARTIOFF48,PARTIOFF48,PARTIOFF48,PARTIOFF48,PARTIOFF48
miles_offshore_gathering_pipe_nps_50,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF50,PARTIOFF50,PARTIOFF50,PARTIOFF50,PARTIOFF50,PARTIOFF50,PARTIOFF50,PARTIOFF50,PARTIOFF50,PARTIOFF50,PARTIOFF50,PARTIOFF50,PARTIOFF50
miles_offshore_gathering_pipe_nps_52,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF52,PARTIOFF52,PARTIOFF52,PARTIOFF52,PARTIOFF52,PARTIOFF52,PARTIOFF52,PARTIOFF52,PARTIOFF52,PARTIOFF52,PARTIOFF52,PARTIOFF52,PARTIOFF52
miles_offshore_gathering_pipe_nps_54,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF54,PARTIOFF54,PARTIOFF54,PARTIOFF54,PARTIOFF54,PARTIOFF54,PARTIOFF54,PARTIOFF54,PARTIOFF54,PARTIOFF54,PARTIOFF54,PARTIOFF54,PARTIOFF54
miles_offshore_gathering_pipe_nps_56,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF56,PARTIOFF56,PARTIOFF56,PARTIOFF56,PARTIOFF56,PARTIOFF56,PARTIOFF56,PARTIOFF56,PARTIOFF56,PARTIOFF56,PARTIOFF56,PARTIOFF56,PARTIOFF56
miles_offshore_gathering_pipe_nps_58_and_over,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF58OVER,PARTIOFF58OVER,PARTIOFF58OVER,PARTIOFF58OVER,PARTIOFF58OVER,PARTIOFF58OVER,PARTIOFF58OVER,PARTIOFF58OVER,PARTIOFF58OVER,PARTIOFF58OVER,PARTIOFF58OVER,PARTIOFF58OVER,PARTIOFF58OVER
miles_offshore_gathering_pipe_other_size,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF_OTHER_PIPE_MILE_TOTAL,PARTIOFF_OTHER_PIPE_MILE_TOTAL,PARTIOFF_OTHER_PIPE_MILE_TOTAL,PARTIOFF_OTHER_PIPE_MILE_TOTAL,PARTIOFF_OTHER_PIPE_MILE_TOTAL,PARTIOFF_OTHER_PIPE_MILE_TOTAL,PARTIOFF_OTHER_PIPE_MILE_TOTAL,PARTIOFF_OTHER_PIPE_MILE_TOTAL,PARTIOFF_OTHER_PIPE_MILE_TOTAL,PARTIOFF_OTHER_PIPE_MILE_TOTAL,PARTIOFF_OTHER_PIPE_MILE_TOTAL,PARTIOFF_OTHER_PIPE_MILE_TOTAL,PARTIOFF_OTHER_PIPE_MILE_TOTAL
miles_offshore_gathering_pipe_other_size_detail,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFF_OTHER_PIPE_DETAIL,PARTIOFF_OTHER_PIPE_DETAIL,PARTIOFF_OTHER_PIPE_DETAIL,PARTIOFF_OTHER_PIPE_DETAIL,PARTIOFF_OTHER_PIPE_DETAIL,PARTIOFF_OTHER_PIPE_DETAIL,PARTIOFF_OTHER_PIPE_DETAIL,PARTIOFF_OTHER_PIPE_DETAIL,PARTIOFF_OTHER_PIPE_DETAIL,PARTIOFF_OTHER_PIPE_DETAIL,PARTIOFF_OTHER_PIPE_DETAIL,PARTIOFF_OTHER_PIPE_DETAIL,PARTIOFF_OTHER_PIPE_DETAIL
miles_onshore_a_gathering_pipe_unknown_size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miles_onshore_a_gathering_pipe_nps_4_to_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miles_onshore_a_gathering_pipe_nps_10_to_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miles_onshore_a_gathering_pipe_nps_20_to_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miles_onshore_a_gathering_pipe_nps_28_and_over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miles_offshore_gathering_pipe_total,,,,,,,,,,,,,,,,,,,,,,,,,PARTIOFFTOTAL,PARTIOFFTOTAL,PARTIOFFTOTAL,PARTIOFFTOTAL,PARTIOFFTOTAL,PARTIOFFTOTAL,PARTIOFFTOTAL,PARTIOFFTOTAL,PARTIOFFTOTAL,PARTIOFFTOTAL,PARTIOFFTOTAL,PARTIOFFTOTAL,PARTIOFFTOTAL
