year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
repaired_leaks_transmission_equipment_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca
repaired_leaks_transmission_equipment_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfmcaeq,partmtlfmcaeq,partmtlfmcaeq,partmtlfmcaeq
repaired_leaks_transmission_equipment_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,,,,
repaired_leaks_transmission_equipment_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl34eq,partmtlfcl34eq,partmtlfcl34eq,partmtlfcl34eq
repaired_leaks_transmission_equipment_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl12eq,partmtlfcl12eq,partmtlfcl12eq,partmtlfcl12eq
repaired_leaks_transmission_equipment_onshore_total,,,,,,,,,,,,cteo1,cteo1,cteo1,cteo1,cteo1,cteo1,cteo1,cteo1,cteo1,,,,,,,,,,,,,,,
repaired_leaks_transmission_equipment_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca
repaired_leaks_transmission_equipment_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca
repaired_leaks_transmission_equipment_offshore_total,,,,,,,,,,,,cteo2,cteo2,cteo2,cteo2,cteo2,cteo2,cteo2,cteo2,cteo2,,,,,,,,,,,,,,,
repaired_failures_transmission_equipment,,,,,,,,,,,,,,,,,,,,,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca
repaired_leaks_gathering_equipment_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona
repaired_leaks_gathering_equipment_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb
repaired_leaks_gathering_equipment_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgceonc,partmgceonc,partmgceonc,partmgceonc
repaired_leaks_gathering_equipment_onshore_total,,,,,,,,,,,,cgeo1,cgeo1,cgeo1,cgeo1,cgeo1,cgeo1,cgeo1,cgeo1,cgeo1,,,,,,,,,,,,,,,
repaired_leaks_gathering_equipment_offshore_total,,,,,,,,,,,,cgeo2,cgeo2,cgeo2,cgeo2,cgeo2,cgeo2,cgeo2,cgeo2,cgeo2,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff
