,plant_id_eia,plant_name_eia,utility_id_eia,utility_name_eia,state,capacity_mw
546,61985,colonial trail west,58468,dominion renewable energy,VA,142.4
547,61986,spring grove i,58468,dominion renewable energy,VA,97.9
548,61987,west loch solar one,19547,hawaiian electric co inc,HI,20.0
549,61988,citrus ridge solar,,,FL,52.0
550,61989,pacific ethanol madera solar array,,,CA,4.3
551,61990,tac-distributed energy resource int.,,,IL,1.5
552,61991,"pioneer solar (co), llc",,,CO,80.0
553,61992,pisces community solar garden,,,MN,0.7
554,61993,gavilan district college solar project,,,CA,1.9
555,61994,sagittarius community solar gardens llc,,,MN,0.7
556,61995,uc merced solar,,,CA,5.0
557,61996,"rankin solar center, llc",,,SC,10.0
558,61997,uss big lake 1 solar csg,,,MN,1.0
559,61998,uss good solar csg,,,MN,1.0
560,61999,uss kasch solar csg,,,MN,1.0
561,62000,uss rockpoint solar csg,,,MN,1.0
562,62001,the bank of new york,,,NY,7.2
563,62002,brooklyn hospital center,,,NY,1.4
564,62003,saint catherine of siena medical center,,,NY,2.2
565,62004,san pablo raceway,,,CA,100.0
566,62010,gibbon solar,,,MN,3.3
567,62011,richmond spider solar,,,VA,20.0
568,62012,pleinmont solar 1,,,VA,75.0
569,62013,pleinmont solar 2,,,VA,240.0
570,62014,highlander solar station 1,,,VA,165.0
571,62015,mustang two,,,CA,150.0
572,62016,uc riverside lots 30 & 32,,,CA,4.0
573,62017,riverhead solar farm,,,NY,20.0
574,62018,page solar,,,NC,1.6
575,62019,holsum irish dairy,,,WI,1.0
576,62020,stanford campus solar,,,CA,3.4
577,62021,franklin solar,58135,ecos energy llc,CT,1.0
578,62022,lincoln land energy center,,,IL,1276.8
579,62023,wilson solar,58135,ecos energy llc,CT,1.0
580,62024,jefferson solar,58135,ecos energy llc,CT,1.0
581,62025,hamilton solar,58135,ecos energy llc,CT,1.0
582,62026,adams solar,58135,ecos energy llc,CT,1.0
583,62027,caldwell wastewater treatment plant,,,NJ,1.9
584,62028,csu long beach lots 7 & 14,,,CA,4.5
585,62029,enfield community solar,,,NY,1.8
586,62030,nautilus lindstrom solar csg,,,MN,2.0
587,62031,nautilus saint cloud solar csg,,,MN,4.0
588,62032,nautilus winsted solar csg,,,MN,3.0
589,62034,baer road csg,,,NY,2.0
590,62035,glaciers edge wind project,,,IA,202.7
591,62036,sartell holdco csg,,,MN,5.0
592,62037,rollingstone holdco csg,,,MN,5.0
593,62038,santa rita east,49893,invenergy services llc,TX,302.4
594,62039,santa rosa junior college petaluma solar,,,CA,1.2
595,62040,becker solar csg,60117,sunshare,MN,1.0
596,62041,cuyahoga county landfill,,,OH,3.7
597,62042,uss solar rapids csg,,,MN,1.0
598,62043,first baptist church of glenarden,,,MD,1.5
599,62044,uss solar dawn csg,,,MN,1.0
600,62045,uss norelius solar csg,,,MN,1.0
601,62046,uss nillie corn solar csg,,,MN,1.0
602,62047,uss jj solar csg,,,MN,1.0
603,62048,uss dubhe solar csg,,,MN,1.0
604,62049,uss brockway solar csg,,,MN,1.0
605,62050,kingsbrook jewish medical center,,,NY,1.7000000000000002
606,62051,st johns riverside hospital,,,NY,2.0
607,62052,citizens imperial solar,58871,citizens enterprises corporation,CA,30.0
608,62053,syncarpha dodge 1 csg,,,MN,1.0
609,62054,alpha value solar,,,NC,5.0
610,62055,wareham solar pv,,,MA,3.3
611,62056,lancaster,,,CA,3.0
612,62057,hazlehurst iii,,,GA,40.0
613,62058,sr terrell,,,GA,74.0
614,62059,east longmeadow solar pv,,,MA,5.0
615,62060,hampton mn gre,,,MN,2.0
616,62061,anoka county mn conx,,,MN,3.4
617,62062,athens mn conx,,,MN,6.6
618,62063,greenfield solar pv,,,MA,2.0
619,62064,hinsdale solar pv,,,MA,2.0
620,62065,savoy solar pv,,,MA,2.0
621,62066,southampton solar pv,,,MA,2.0
622,62067,urtica solar project,,,WA,5.0
623,62068,typha solar project,,,WA,5.0
624,62069,penstemon solar project,,,WA,5.0
625,62070,fumaria solar project,,,WA,5.0
626,62071,camas solar project,,,WA,5.0
627,62072,springfield solar pv,,,MA,4.0
628,62073,hampden solar pv,,,MA,3.5
629,62074,"bd of educ of queen anne's cnty, cnty hs",,,MD,1.7
630,62075,pima community college,,,AZ,1.1
631,62076,town of branford,,,CT,1.1
632,62077,blue shld of cal- el dorado hlls mtr b,,,CA,2.1
633,62079,whispering willow north,9417,interstate power and light co,IA,199.9
634,62080,richland,9417,interstate power and light co,IA,130.1
635,62081,golden plains,9417,interstate power and light co,IA,198.8
636,62082,southwick solar pv,,,MA,5.0
637,62084,becker solar 2 csg,60117,sunshare,MN,1.0
638,62085,becker solar 3 csg,60117,sunshare,MN,1.0
639,62086,becker solar 4 csg,60117,sunshare,MN,1.0
640,62087,becker solar 5 csg,60117,sunshare,MN,1.0
641,62088,schultz csg,,,MN,1.8
642,62089,"panda solar nc 1, llc",,,NC,1.0
643,62090,sunderland solar pv,,,MA,1.1
644,62091,hatfield solar pv,,,MA,3.6
645,62092,montague site 36-grosolar,,,MA,4.1
646,62093,east springfield solar pv,,,MA,1.4
647,62095,quarter horse solar,,,NC,4.5
648,62096,atkinson solar ii,,,NC,1.9
649,62097,ludlow site 72 - conti,,,MA,1.9
650,62098,tiller csg,,,MN,5.0
651,62099,hammer csg,,,MN,4.8
652,62100,warrenton i solar,,,NC,4.9
653,62101,bladenboro solar 2,,,NC,4.5
654,62102,sadiebrook nc solar,,,NC,5.0
655,62103,kossuth,20856,wisconsin power & light co,IA,150.5
656,62104,lane solar,,,NC,5.0
657,62105,monticello project csg,,,MN,5.0
658,62106,"wed green hill, llc",,,RI,3.0
659,62107,"wed plainfield ii, llc",,,RI,3.0
660,62108,"wed plainfield iii, llc",,,RI,3.0
661,62109,"wed plainfield, llc",,,RI,3.0
662,62110,"wed shun i, llc",,,RI,3.0
663,62111,"wed shun ii, llc",,,RI,3.0
664,62112,"wed shun iii, llc",,,RI,3.0
665,62113,strauss wind farm,,,CA,98.8
666,62114,roseville solar,,,CA,1.0
667,62115,aes alamitos energy center,,,CA,678.0
668,62116,aes huntington beach energy project,,,CA,678.0
669,62117,beloit memorial hospital power plant,,,WI,3.0
670,62118,"wed gw solar, llc",,,RI,3.0
671,62119,university park solar,,,PA,1.5
672,62120,"panda solar nc 2, llc",,,NC,2.0
673,62121,"panda solar nc 3, llc",,,NC,2.0
674,62122,"panda solar nc 4, llc",,,NC,2.0
675,62123,"panda solar nc 5, llc",,,NC,1.0
676,62124,"panda solar nc 6, llc",,,NC,1.0
677,62125,"panda solar nc 7, llc",,,NC,1.5
678,62126,"panda solar nc 8, llc",,,NC,2.0
679,62127,"panda solar nc 9, llc",,,NC,2.0
680,62128,"panda solar nc 10, llc",,,NC,2.0
681,62129,"panda solar nc 11, llc",,,NC,2.0
682,62130,roseman,,,IA,1.8
683,62131,"red toad 4451 buffalo road, llc",,,NC,2.0
684,62132,arbor hill wind farm,12341,midamerican energy co,IA,250.0
685,62133,north english,12341,midamerican energy co,IA,200.0
686,62134,beaver creek ii wind,12341,midamerican energy co,IA,170.0
687,62135,palmer,,,MA,3.5
688,62136,"arthur solar, llc",,,NC,5.0
689,62137,eichtens ii csg,57081,"wgl energy systems, inc",MN,1.0
690,62138,barone csg,57081,"wgl energy systems, inc",MN,1.0
691,62139,huneke ii csg,57081,"wgl energy systems, inc",MN,1.1
692,62140,puller solar,58468,dominion renewable energy,VA,15.0
693,62141,rambler,,,TX,200.0
694,62142,amadeus wind farm,,,TX,250.0
695,62143,msc-greycloud01 community solar,,,MN,1.0
