year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
fuel_consumed_mmbtu_february,tot_mmbtu_feb,tot_mmbtu_feb,tot_mmbtu_feb,tot_mmbtu_feb,tot_mmbtu_feb,tot_mmbtu_feb,tot_mmbtu_feb,tot_mmbtu_feb,tot_mmbtu_feb,tot_mmbtu_feb,tot_mmbtufeb,tot_mmbtu_february,tot_mmbtufeb,tot_mmbtu_february,tot_mmbtu_february,tot_mmbtu_february,tot_mmbtu_february,tot_mmbtu_february,tot_mmbtu_february,tot_mmbtu_february
fuel_consumed_mmbtu_march,tot_mmbtu_mar,tot_mmbtu_mar,tot_mmbtu_mar,tot_mmbtu_mar,tot_mmbtu_mar,tot_mmbtu_mar,tot_mmbtu_mar,tot_mmbtu_mar,tot_mmbtu_mar,tot_mmbtu_mar,tot_mmbtumar,tot_mmbtu_march,tot_mmbtumar,tot_mmbtu_march,tot_mmbtu_march,tot_mmbtu_march,tot_mmbtu_march,tot_mmbtu_march,tot_mmbtu_march,tot_mmbtu_march
fuel_consumed_mmbtu_april,tot_mmbtu_apr,tot_mmbtu_apr,tot_mmbtu_apr,tot_mmbtu_apr,tot_mmbtu_apr,tot_mmbtu_apr,tot_mmbtu_apr,tot_mmbtu_apr,tot_mmbtu_apr,tot_mmbtu_apr,tot_mmbtuapr,tot_mmbtu_april,tot_mmbtuapr,tot_mmbtu_april,tot_mmbtu_april,tot_mmbtu_april,tot_mmbtu_april,tot_mmbtu_april,tot_mmbtu_april,tot_mmbtu_april
fuel_consumed_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtumay,tot_mmbtu_may,tot_mmbtumay,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may,tot_mmbtu_may
fuel_consumed_mmbtu_june,tot_mmbtu_jun,tot_mmbtu_jun,tot_mmbtu_jun,tot_mmbtu_jun,tot_mmbtu_jun,tot_mmbtu_jun,tot_mmbtu_jun,tot_mmbtu_jun,tot_mmbtu_jun,tot_mmbtu_jun,tot_mmbtujun,tot_mmbtu_june,tot_mmbtujun,tot_mmbtu_june,tot_mmbtu_june,tot_mmbtu_june,tot_mmbtu_june,tot_mmbtu_june,tot_mmbtu_june,tot_mmbtu_june
fuel_consumed_mmbtu_july,tot_mmbtu_jul,tot_mmbtu_jul,tot_mmbtu_jul,tot_mmbtu_jul,tot_mmbtu_jul,tot_mmbtu_jul,tot_mmbtu_jul,tot_mmbtu_jul,tot_mmbtu_jul,tot_mmbtu_jul,tot_mmbtujul,tot_mmbtu_july,tot_mmbtujul,tot_mmbtu_july,tot_mmbtu_july,tot_mmbtu_july,tot_mmbtu_july,tot_mmbtu_july,tot_mmbtu_july,tot_mmbtu_july
fuel_consumed_mmbtu_august,tot_mmbtu_aug,tot_mmbtu_aug,tot_mmbtu_aug,tot_mmbtu_aug,tot_mmbtu_aug,tot_mmbtu_aug,tot_mmbtu_aug,tot_mmbtu_aug,tot_mmbtu_aug,tot_mmbtu_aug,tot_mmbtuaug,tot_mmbtu_august,tot_mmbtuaug,tot_mmbtu_august,tot_mmbtu_august,tot_mmbtu_august,tot_mmbtu_august,tot_mmbtu_august,tot_mmbtu_august,tot_mmbtu_august
fuel_consumed_mmbtu_september,tot_mmbtu_sep,tot_mmbtu_sep,tot_mmbtu_sep,tot_mmbtu_sep,tot_mmbtu_sep,tot_mmbtu_sep,tot_mmbtu_sep,tot_mmbtu_sep,tot_mmbtu_sep,tot_mmbtu_sep,tot_mmbtusep,tot_mmbtu_september,tot_mmbtusep,tot_mmbtu_september,tot_mmbtu_september,tot_mmbtu_september,tot_mmbtu_september,tot_mmbtu_september,tot_mmbtu_september,tot_mmbtu_september
fuel_consumed_mmbtu_october,tot_mmbtu_oct,tot_mmbtu_oct,tot_mmbtu_oct,tot_mmbtu_oct,tot_mmbtu_oct,tot_mmbtu_oct,tot_mmbtu_oct,tot_mmbtu_oct,tot_mmbtu_oct,tot_mmbtu_oct,tot_mmbtuoct,tot_mmbtu_october,tot_mmbtuoct,tot_mmbtu_october,tot_mmbtu_october,tot_mmbtu_october,tot_mmbtu_october,tot_mmbtu_october,tot_mmbtu_october,tot_mmbtu_october
fuel_consumed_mmbtu_november,tot_mmbtu_nov,tot_mmbtu_nov,tot_mmbtu_nov,tot_mmbtu_nov,tot_mmbtu_nov,tot_mmbtu_nov,tot_mmbtu_nov,tot_mmbtu_nov,tot_mmbtu_nov,tot_mmbtu_nov,tot_mmbtunov,tot_mmbtu_november,tot_mmbtunov,tot_mmbtu_november,tot_mmbtu_november,tot_mmbtu_november,tot_mmbtu_november,tot_mmbtu_november,tot_mmbtu_november,tot_mmbtu_november
fuel_consumed_mmbtu_december,tot_mmbtu_dec,tot_mmbtu_dec,tot_mmbtu_dec,tot_mmbtu_dec,tot_mmbtu_dec,tot_mmbtu_dec,tot_mmbtu_dec,tot_mmbtu_dec,tot_mmbtu_dec,tot_mmbtu_dec,tot_mmbtudec,tot_mmbtu_december,tot_mmbtudec,tot_mmbtu_december,tot_mmbtu_december,tot_mmbtu_december,tot_mmbtu_december,tot_mmbtu_december,tot_mmbtu_december,tot_mmbtu_december
fuel_consumed_for_electricity_mmbtu_january,elec_mmbtus_jan,elec_mmbtus_jan,elec_mmbtus_jan,elec_mmbtus_jan,elec_mmbtus_jan,elec_mmbtus_jan,elec_mmbtus_jan,elec_mmbtus_jan,elec_mmbtus_jan,elec_mmbtus_jan,elec_mmbtujan,elec_mmbtu_january,elec_mmbtujan,elec_mmbtu_january,elec_mmbtu_january,elec_mmbtu_january,elec_mmbtu_january,elec_mmbtu_january,elec_mmbtu_january,elec_mmbtu_january
fuel_consumed_for_electricity_mmbtu_february,elec_mmbtus_feb,elec_mmbtus_feb,elec_mmbtus_feb,elec_mmbtus_feb,elec_mmbtus_feb,elec_mmbtus_feb,elec_mmbtus_feb,elec_mmbtus_feb,elec_mmbtus_feb,elec_mmbtus_feb,elec_mmbtufeb,elec_mmbtu_february,elec_mmbtufeb,elec_mmbtu_february,elec_mmbtu_february,elec_mmbtu_february,elec_mmbtu_february,elec_mmbtu_february,elec_mmbtu_february,elec_mmbtu_february
