report_year,respondent_id,record_number,plant_name,nice_plant_name,kind_of_plant,ferc_license,yr_constructed,capacity_rating,net_demand,net_generation,plant_cost,plant_cost_mw,operation,expns_fuel,expns_maint,kind_of_fuel,fuel_cost
2004,94,8,  LL4,Miki Basin LL4,internal_combustion,,1956,1,0,0,0,0,0,0,0,,0
2004,94,9,  LL5,Miki Basin LL5,internal_combustion,,1956,1,0,0,0,0,0,0,0,,0
2004,94,10,  LL6,Miki Basin LL6,internal_combustion,,1962,1,0,0,0,0,0,0,0,,0
2004,94,11,  LL7,Miki Basin LL7,internal_combustion,,1996,2.2,0,0,0,0,0,0,0,,0
2004,94,12,  LL8,Miki Basin LL8,internal_combustion,,1996,2.2,0,0,0,0,0,0,0,,0
2004,94,14,TOTAL LANAI CITY & MIKI BASIN PLANTS,,internal_combustion,,,12.4,4.9,29203754,17227235,1389293,574810,3508361,297066,Diesel,1198
2004,94,16,Molokai,,,,,0,0,0,0,0,0,0,0,,0
2004,94,17,  Caterpillar 1,Molokai Caterpillar 1,internal_combustion,,1985,1.25,0,0,0,0,0,0,0,,0
2004,94,18,  Caterpillar 2,Molokai Caterpillar 2,internal_combustion,,1985,1.25,0,0,0,0,0,0,0,,0
2004,94,19,  Gas Turbine,Molokai Gas Turbine,gas_turbine,,1982,2.5,0,0,0,0,0,0,0,,0
2004,94,20,  Cummins Diesel #3,Molokai Cumins Diesel 3,internal_combustion,,1985,0.9,0,0,0,0,0,0,0,,0
2004,94,21,  Cummins Diesel #4,Molokai Cumins Diesel 4,internal_combustion,,1985,0.9,0,0,0,0,0,0,0,,0
2004,94,22,  Cummins Diesel #5,Molokai Cumins Diesel 5,internal_combustion,,1985,0.9,0,0,0,0,0,0,0,,0
2004,94,23,  Cummins Diesel #6,Molokai Cumins Diesel 6,internal_combustion,,1991,0.9,0,0,0,0,0,0,0,,0
2004,94,24,  Caterpillar 7,Molokai Caterpillar 7,internal_combustion,,1996,2.2,0,0,0,0,0,0,0,,0
2004,94,25,  Caterpillar 8,Molokai Caterpillar 8,internal_combustion,,1996,2.2,0,0,0,0,0,0,0,,0
2004,94,26,  Caterpillar 9,Molokai Caterpillar 9,internal_combustion,,1996,2.2,0,0,0,0,0,0,0,,0
2004,94,28,TOTAL MOLOKAI,,internal_combustion,,,15.2,6.8,38895085,20204323,1329232,651447,3910178,716884,Diesel,1005
2004,95,1,GAS TURBINE,,,,,0,0,0,0,0,0,0,0,,0
2004,95,2,Williston,,gas_turbine,,1953,7.8,10.6,-75381,1967164,252,22845,3231,9773,Nat Gas,0
2004,98,1,HYDRO PLANTS,,,,,0,0,0,0,0,0,0,0,,0
2004,98,3,Knife Falls FERC Project No. 2360,Knife Falls,hydro,2360,1922,2.4,2.3,9155900,2517261,1048859,9623,0,185445,,0
2004,98,5,Little Falls FERC Project No. 2532,Little Falls,hydro,2532,1906,4.7,4.7,26777900,4175296,888361,370284,0,410939,,0
2004,98,7,Pillager FERC Project No. 2663,Pillager,hydro,2663,1917,1.6,1.8,9701500,1135496,709685,19766,0,48278,,0
2004,98,9,Prairie River FERC Project No. 2361,Prairie,hydro,2361,1920,1.1,0.7,2526400,383546,348678,1571,0,64304,,0
2004,98,11,Scanlon FERC Project No. 2360,Scanlon,hydro,2360,1923,1.6,1.6,7440600,2006376,1253985,7111,0,41922,,0
2004,98,13,Sylvan FERC Project No. 2454,Sylvan,hydro,2454,1913,1.8,1.9,10198600,1840146,1022303,6798,0,51976,,0
2004,98,15,Winton FERC Project No. 469,Winton,hydro,469,1923,4,4.3,19740500,2642592,660648,6301,0,166863,,0
2004,98,17,Rapids FERC Project No. 2362 (non-regul),Rapids,hydro,2362,1917,2.25,0,0,36260,16116,0,0,0,,0
2004,98,19,"All Other Hydro Plant, Resv., Misc., Etc.",,hydro,,,0,0,0,5166569,0,0,0,0,,0
2004,113,1,Southbridge Street,,internal_combustion,,1989,1,0,0,413479,50,0,0,7360,Diesel,0
2004,115,1,Hydro,,,,,0,0,0,0,0,0,0,0,,0
2004,115,2,Rainbow Falls (B),Rainbow Falls,hydro,2835,1926,2.6,3.1,8802,3512189,0,69920,0,74119,Hydro,0
2004,115,3,Cadyville (A),Cadyville,hydro,2738,1921,5.5,4.8,26463,15358612,0,82342,0,61828,Hydro,0
2004,115,4,Keuka (C),Keuka,hydro,2852,1928,2,0,0,1205252,0,31905,0,12534,Hydro,0
2004,115,5,"Mill ""C"" (A)",Mill C,hydro,2738,1943,6,5.9,20104,14527267,0,67527,0,84134,Hydro,0
2004,115,7,Internal Combustion,,,,,0,0,0,0,0,0,0,0,,0
2004,115,8,Harris Lake,,internal_combustion,,1967,1.7,1.8,152,391459,0,26527,17991,97514,Diesel,0
2004,115,9,Auburn Gas Turbine,,gas_turbine,,2000,7,7.2,46,0,0,824614,0,1700,Natural Gas,0
2004,115,11,(A) Project # 2738,,,,,0,0,0,0,0,0,0,0,,0
2004,115,12,(B) Project # 2835,,,,,0,0,0,0,0,0,0,0,,0
2004,115,13,(C) Project # 2852,,,,,0,0,0,0,0,0,0,0,,0
2004,117,1,Leased Plants:,,,,,0,0,0,0,0,0,0,0,,0
2004,117,2,  Diamond Island (Project No. 5801),Diamond Island,hydro,5801,1914,1.2,0,0,415014,345845,0,0,0,,0
2004,117,3,  Hudson Falls (Project No. 5276),Hudson Falls,hydro,5276,1996,36,0,0,6013269,167035,0,0,0,,0
2004,117,4,  Middle Falls (Project No. 8610),Middle Falls,hydro,8610,1989,3.1,0,0,700454,225953,0,0,0,,0
2004,117,5,  South Glen Falls (Project No. 5461),South Glen Falls,hydro,5461,1995,14,0,0,1336137,95438,0,0,0,,0
2004,117,6,  Theresa (Project No. 4486),Theresa,hydro,4486,1929,1.6,0,0,381469,238531,0,0,0,,0
2004,117,7,  Union Falls (Project No. 4472),Union Falls,hydro,4472,1987,2.6,0,0,776457,296675,0,0,0,,0
2004,119,1,Norway,,hydro,,1923,7,7,28628500,6069505,867072,99461,0,207675,Hydro,0
2004,120,1,STEAM PLANT,,,,,0,0,0,0,0,0,0,0,,0
2004,120,3,Red Wing,,steam_heat,,1949,23,20,114699,41979900,1821539,4658364,2458045,1645170,"RDF, Gas",111
2004,120,6,INTERNAL COMBUSTION,,,,,0,0,0,0,0,0,0,0,,0
2004,120,8,Dispersed Generation,,internal_combustion,,,0,0,-237,3315889,0,0,3214,819,Oil,636
2004,120,11,HYDRO PLANTS,,,,,0,0,0,0,0,0,0,0,,0
2004,120,13,Lower Dam,,hydro,,1887,8,0,0,810693,101337,0,0,0,Hydro,0
2004,120,17,WIND TURBINE PLANTS,,,,,0,0,0,0,0,0,0,0,,0
2004,120,19,Holland,,wind,,1986,0.2,0,0,46701,233505,0,0,0,Wind,0
2004,120,20,Lake Benton,,wind,,1997,0,0,0,10469027,0,0,0,0,Wind,0
2004,120,23,SOLAR,,,,,0,0,0,0,0,0,0,0,,0
2004,120,25,Photovoltaic Units,,solar_pv,,1995,0,0,0,306139,0,0,0,0,Solar,0
2004,121,1,Hydro,,,,,0,0,0,0,0,0,0,0,,0
2004,121,2,Apple River,,hydro,,1901,2.85,3.2,13104772,2530805,888002,41658,0,162919,,0
2004,121,4,Cedar Falls,,hydro,,1910,6,7,35134774,3872555,645426,173558,0,63464,,0
2004,121,6,Eau Claire Dells,,hydro,,1907,9.5,8.7,37785200,4025221,423707,574150,0,83506,,0
2004,121,8,Menomonie,,hydro,,1958,5.4,5.4,24919662,4166562,771586,109215,0,50048,,0
2004,121,10,Riverdale,,hydro,,1905,0.6,0.6,2906628,792846,1321410,8213,0,41191,,0
2004,121,12,Trego,,hydro,,1926,1.2,1.4,7838000,1142151,951793,73385,0,116932,,0
2004,121,14,Big Falls,,hydro,,1922,7.78,7.1,32008998,2746718,353049,216593,0,45905,,0
2004,121,16,Hayward,,hydro,,1910,0.2,0.2,1119800,269075,1345375,15046,0,42580,,0
2004,121,18,Ladysmith,,hydro,,1941,3,3,9778000,4999224,1666408,79780,0,229378,,0
2004,121,20,Saxon Falls,,hydro,,1912,1.2,1.2,9822100,1329066,1107555,70972,0,4414,,0
2004,121,22,Superior Falls,,hydro,,1917,1.32,1.5,10719180,1764161,1336486,108405,0,41329,,0
2004,121,24,Thornapple,,hydro,,1927,1.4,1.6,7633200,2284086,1631490,69073,0,17239,,0
2004,121,26,White River,,hydro,,1907,1,0.6,4018200,1063261,1063261,106490,0,190814,,0
2004,122,1,Internal Combustion,,,,,0,0,0,0,0,0,0,0,,0
2004,122,3,Clark,,internal_combustion,,1970,2.75,2.2,-61,361646,131508,2614,5777,903,Oil,0
2004,122,4,Faulkton,,internal_combustion,,1969,2.75,2.1,-26,814514,296187,3480,10636,4941,Oil,0
2004,122,5,Highmore,,internal_combustion,,1948,4.79,3.8,63,859423,179608,4119,4753,3548,Oil,0
2004,122,6,Redfield,,internal_combustion,,1962,4.08,3.9,-12,799895,196053,18955,2376,1583,Oil/Gas,0
2004,122,7,Webster,,internal_combustion,,1931,2.76,1.5,0,565615,204636,168,759,1374,Oil,0
2004,122,8,Mobile A,,internal_combustion,,1955,0.5,0.5,-59,70841,141682,0,70,0,Oil,0
2004,122,9,Mobile B,,internal_combustion,,1991,1.75,1.8,-30,436072,249184,323,2018,11942,Oil,0
2004,122,11,Total South Dakota,,internal_combustion,,,0,0,-125,3908006,0,29659,26389,24291,,0
2004,122,13,Yellowstone Park,,,,,0,0,0,0,0,0,0,0,,0
2004,122,14,Lake,Yellowstone Park Lake,internal_combustion,,1967,2.8,0,181,458097,163606,7035,39158,29225,Oil,0
