Table Name / Data Link,File Name,Pages,Freq,Table Description
`f1_elctrc_erg_acct <https://data.catalyst.coop/ferc1/f1_elctrc_erg_acct>`_,F1_24.DBF,401-401a,A,Electric Energy Account
`f1_elctrc_oper_rev <https://data.catalyst.coop/ferc1/f1_elctrc_oper_rev>`_,F1_25.DBF,300-301a,A/Q,Electric Operating Revenues (Individual Schedule Lines)
`f1_electric <https://data.catalyst.coop/ferc1/f1_electric>`_,F1_28.DBF,429,,
`f1_email <https://data.catalyst.coop/ferc1/f1_email>`_,F1_EMAIL.DBF,,,
`f1_envrnmntl_expns <https://data.catalyst.coop/ferc1/f1_envrnmntl_expns>`_,F1_29.DBF,431,,
`f1_envrnmntl_fclty <https://data.catalyst.coop/ferc1/f1_envrnmntl_fclty>`_,F1_30.DBF,430,,
f1_footnote_data,F1_85.DBF,450,A/Q,Footnote Data
f1_footnote_tbl,F1_87.DBF,,,
f1_freeze,F1_FREEZE.DBF,,,
`f1_fuel <https://data.catalyst.coop/ferc1/f1_fuel>`_,F1_31.DBF,402-403b,A,Steam-Electric Generation Plant Statistics - Large Plants (Fuel Details)
`f1_general_info <https://data.catalyst.coop/ferc1/f1_general_info>`_,F1_32.DBF,101,A,General Information
`f1_gnrt_plant <https://data.catalyst.coop/ferc1/f1_gnrt_plant>`_,F1_33.DBF,410-411,A,Generating Plant Statistics (Small Plants)
`f1_hydro <https://data.catalyst.coop/ferc1/f1_hydro>`_,F1_86.DBF,406-407,A,Hydroelectric Gen Plant Stats (Large Plants)
`f1_ident_attsttn <https://data.catalyst.coop/ferc1/f1_ident_attsttn>`_,F1_88.DBF,1,A/Q,Identification & Attestation
`f1_important_chg <https://data.catalyst.coop/ferc1/f1_important_chg>`_,F1_34.DBF,108-109,A/Q,Important Changes During the Quarter/Year
`f1_incm_stmnt_2 <https://data.catalyst.coop/ferc1/f1_incm_stmnt_2>`_,F1_35.DBF,114-117b,A/Q,"Statement of Income (Other Income & Deductions, Interest Charges, Extraordinary Items) "
`f1_income_stmnt <https://data.catalyst.coop/ferc1/f1_income_stmnt>`_,F1_36.DBF,114-117a,A/Q,Statement of Income
`f1_leased <https://data.catalyst.coop/ferc1/f1_leased>`_,F1_90.DBF,213,A,Electric Plant Leased to Others
`f1_load_file_names <https://data.catalyst.coop/ferc1/f1_load_file_names>`_,F1_80.DBF,,,
`f1_long_term_debt <https://data.catalyst.coop/ferc1/f1_long_term_debt>`_,F1_93.DBF,256-257,A,Long-Term Debt
`f1_misc_dfrrd_dr <https://data.catalyst.coop/ferc1/f1_misc_dfrrd_dr>`_,F1_38.DBF,233,A,Miscellaneous Deferred Debits
`f1_miscgen_expnelc <https://data.catalyst.coop/ferc1/f1_miscgen_expnelc>`_,F1_37.DBF,335,A,Miscellaneous General Expenses - Electric
`f1_mthly_peak_otpt <https://data.catalyst.coop/ferc1/f1_mthly_peak_otpt>`_,F1_39.DBF,401-401b,A,Monthly Peaks & Output
`f1_mtrl_spply <https://data.catalyst.coop/ferc1/f1_mtrl_spply>`_,F1_40.DBF,"227, 228-229",A,Materials & Supplies
`f1_nbr_elc_deptemp <https://data.catalyst.coop/ferc1/f1_nbr_elc_deptemp>`_,F1_41.DBF,320,,
`f1_nonutility_prop <https://data.catalyst.coop/ferc1/f1_nonutility_prop>`_,F1_42.DBF,221,,
f1_note_fin_stmnt,F1_43.DBF,122-123,A/Q,Notes to Financial Statements
`f1_nuclear_fuel <https://data.catalyst.coop/ferc1/f1_nuclear_fuel>`_,F1_44.DBF,202-203,A,Nuclear Fuel Materials
