report_year,utility_id_ferc1,xbrl_factoid,xbrl_factoid_off_by,abs_diff,ending_balance_off_by,_delta
2020,176,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,24657886.0,24657886.0,0.0
2010,267,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,214606027.0,214606027.0,0.0
2009,267,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,131923400.0,131923400.0,0.0
2021,176,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,25215041.0,25215041.0,0.0
2025,395,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,16764525.0,16764525.0,0.0
2020,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,22271224.0,22271224.0,0.0
2015,265,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,4818943.0,4818943.0,0.0
2001,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,40079910.0,40079910.0,0.0
2013,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,7630644.0,7630644.0,0.0
2012,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,1508720.0,1508720.0,0.0
2014,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,18415368.0,18415368.0,0.0
2011,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,891058.0,891058.0,0.0
2010,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,2692029.0,2692029.0,0.0
2015,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,32025443.0,32025443.0,0.0
2009,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,735555.0,735555.0,0.0
2007,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,1466673.0,1466673.0,0.0
2013,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,1679076.0,1679076.0,0.0
2016,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,36748068.0,36748068.0,0.0
2005,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,460534.0,460534.0,0.0
2017,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,45771753.0,45771753.0,0.0
2004,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,1697621.0,1697621.0,0.0
2018,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,34252543.0,34252543.0,0.0
2003,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,696100.0,696100.0,0.0
2002,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,1010911.0,1010911.0,0.0
2019,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,33541652.0,33541652.0,0.0
2001,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,1907276.0,1907276.0,0.0
2006,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,894170.0,894170.0,0.0
2014,265,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,4210851.0,4210851.0,0.0
2012,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,31533349.0,31533349.0,0.0
2016,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,2903870.0,2903870.0,0.0
2013,265,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,6331172.0,6331172.0,0.0
2012,265,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,4919431.0,4919431.0,0.0
2002,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,29484752.0,29484752.0,0.0
2005,265,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,2148320.0,2148320.0,0.0
2003,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,42743645.0,42743645.0,0.0
2025,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,8340962.0,8340962.0,0.0
2004,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,68086858.0,68086858.0,0.0
2024,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,6969282.0,6969282.0,0.0
2015,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,3308767.0,3308767.0,0.0
2005,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,15116480.0,15116480.0,0.0
2006,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,12194275.0,12194275.0,0.0
2022,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,3986414.0,3986414.0,0.0
2007,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,5217856.0,5217856.0,0.0
